Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 ,target, CO 
Trời quang,18°C,29%,10.1 km/h,1014 mbar,62.8,279,3,100,28.8,Không lành mạnh,
Trời quang,19°C,23%,11.2 km/h,1013 mbar,75.1,277,10,79.2,9.6,Không lành mạnh,1720
Nhiều mây,-1°C,45%,7 km/h,1032 mbar,109,477.5,56.5,31,8.5,Nguy hiểm,450
Sương mù,19°C,45%,5.5 km/h,1014 mbar,87,,,,,Không lành mạnh,
Trời quang,21°C,32%,10.6 km/h,1012 mbar,52.2*,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,18°C,24%,7.3 km/h,1015 mbar,38.2*,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,19°C,22%,10.7 km/h,1013 mbar,41.1,159.7,48,112,10.8,Không lành mạnh cho các nhóm nhạy cảm,880
Trời quang,20°C,27%,2.7 km/h,1014 mbar,92,,,,,Không lành mạnh,
Sương mù,15°C,48%,11.1 km/h,1017 mbar,239,,,,,Rất không lành mạnh,
Trời quang,19°C,27%,11.2 km/h,1014 mbar,60,,,,18.4,Không lành mạnh,
Trời quang,19°C,23%,11.1 km/h,1013 mbar,86.3,171.7,8,14.4,24.8,Không lành mạnh,
Trời quang,19°C,23%,10.8 km/h,1013 mbar,42.8,,,,6.4,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,19°C,29%,9.1 km/h,1014 mbar,50.5,,,,14.4,Không lành mạnh cho các nhóm nhạy cảm,
Sương mù,17°C,63%,0 km/h,1015 mbar,118,,,,,Không lành mạnh,
Sương mù,20°C,73%,0 km/h,1012 mbar,62,120.6,14,27.2,10.4,Không lành mạnh,650
Trời quang,18°C,30%,10.9 km/h,1014 mbar,29.2*,,,,,Trung bình,
Sương mù,19°C,45%,5.5 km/h,1014 mbar,55.3,149.2,7,32,6.4,Không lành mạnh cho các nhóm nhạy cảm,790
Nhiều mây,-1°C,43%,6.2 km/h,1032 mbar,122,388,43,39,5,Rất không lành mạnh,1000
Trời quang,21°C,29%,10.8 km/h,1012 mbar,26.4,105,20.5,44.1,25.6,Trung bình,680
Trời quang,20°C,31%,8.7 km/h,1012 mbar,243.5,407.6,29,4.8,6.4,Rất không lành mạnh,1690
Sương mù,22°C,60%,7.4 km/h,1012 mbar,31.7,75,6.5,37.6,26,Trung bình,1230
Trời quang,19°C,24%,8.6 km/h,1014 mbar,30.2*,,,,,Trung bình,
Trời quang,19°C,27%,12.2 km/h,1013 mbar,60,150.7,17,45.7,23.2,Không lành mạnh,
Trời quang,19°C,28%,13.1 km/h,1013 mbar,56.9,164.2,19.5,65.7,6.8,Không lành mạnh,1580
Trời quang,21°C,33%,9.1 km/h,1012 mbar,38.2*,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Ít mây,19°C,31%,8 km/h,1012 mbar,258,,44,125,25.6,Nguy hiểm,2580
Sương mù,24°C,57%,5.5 km/h,1012 mbar,158,,,,,Rất không lành mạnh,
Mây rải rác,33°C,9%,11.1 km/h,1008 mbar,40,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,19°C,30%,10.3 km/h,1014 mbar,87.4,101,46,,7.2,Không lành mạnh,560
Trời quang,22°C,27%,7.3 km/h,1012 mbar,111,250.4,6.7,71.1,46.9,Không lành mạnh,1690
Nhiều mây,-18°C,85%,10.5 km/h,1042 mbar,79.6,84.5,,132.7,18,Không lành mạnh,
Trời quang,18°C,30%,14.6 km/h,1012 mbar,40.2*,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,23°C,49%,7.3 km/h,1011 mbar,261,,,,,Nguy hiểm,
Trời quang,19°C,28%,8.6 km/h,1014 mbar,68,,,,4,Không lành mạnh,
Trời quang,20°C,31%,9.9 km/h,1013 mbar,24.6,63,10.5,32,9.2,Trung bình,80
Trời quang,17°C,33%,12.5 km/h,1013 mbar,94.8,197.3,,,,Không lành mạnh,
Nhiều mây,-7°C,75%,28.8 km/h,1032 mbar,0.8,1.1,,,,Tốt,
Trời quang,17°C,30%,11.5 km/h,1014 mbar,30,57,,,11.2,Trung bình,
Trời quang,18°C,29%,12.3 km/h,1013 mbar,27.6,153.7,,,,Trung bình,
