Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO ,target
Trời quang,24°C,20%,20.8 km/h,1014 mbar,102,207.9,25,80.8,13,680,Không lành mạnh
Trời quang,25°C,16%,20.1 km/h,1013 mbar,30,241,26,21.6,5.6,240,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,1°C,32%,4.9 km/h,1033 mbar,119.5,419.5,61,35,16,600,Rất không lành mạnh
Sương mù,25°C,27%,18.5 km/h,1015 mbar,47,167,37.7,29.8,3.6,500,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,27°C,18%,18.8 km/h,1011 mbar,44.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,25°C,19%,16.8 km/h,1016 mbar,36.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,25°C,16%,19.8 km/h,1013 mbar,74.5,164.2,88.8,33.6,10.4,560,Không lành mạnh
Trời quang,26°C,19%,13.6 km/h,1016 mbar,18,,,,,,Trung bình
Trời quang,21°C,24%,29.6 km/h,1021 mbar,22,,,,,,Trung bình
Trời quang,26°C,18%,20.3 km/h,1014 mbar,39.9,,,,3.2,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,25°C,16%,20.2 km/h,1013 mbar,83.7,186,44,14.8,11.2,1380,Không lành mạnh
Trời quang,25°C,16%,19.9 km/h,1013 mbar,90,185.3,39,,,,Không lành mạnh
Trời quang,25°C,19%,19.7 km/h,1014 mbar,49.4,,,,3.2,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,23°C,33%,25.9 km/h,1017 mbar,42.7,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,26°C,41%,14.8 km/h,1013 mbar,52.7,110,52.1,20,8,680,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,26°C,18%,22.8 km/h,1014 mbar,44.6,84,18,,0.8,,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,25°C,27%,18.5 km/h,1015 mbar,55.9,149.2,21.5,29.2,11.2,730,Không lành mạnh
Mây rải rác,1°C,36%,3.9 km/h,1034 mbar,157,388,59,42,11,1200,Rất không lành mạnh
Trời quang,27°C,18%,16.7 km/h,1012 mbar,16.2,66,23,23.2,27.2,400,Trung bình
Trời quang,27°C,18%,17.8 km/h,1010 mbar,171.8,380.1,61.3,13.6,12.8,1295,Rất không lành mạnh
Sương mù,28°C,32%,18.5 km/h,1012 mbar,21,45,31.5,21.6,25.2,680,Trung bình
Trời quang,25°C,19%,16.7 km/h,1016 mbar,34.2*,,,,,,Trung bình
Trời quang,25°C,18%,19.9 km/h,1013 mbar,52,119.1,,8,16,,Không lành mạnh cho các nhóm nhạy cảm
