Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO ,target
Trời quang,14°C,36%,11.5 km/h,1016 mbar,39.1,201.9,9.9,80,18.4,380.4,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,15°C,28%,14.7 km/h,1015 mbar,65.7,177.8,10,44.9,13.6,880,Không lành mạnh
Trời quang,-2°C,47%,1.3 km/h,1032 mbar,135,478.5,25.5,67,35.5,2300,Nguy hiểm
Sương mù,15°C,63%,11.1 km/h,1016 mbar,72.4,150.3,14.3,29.8,5.3,840,Không lành mạnh
Trời quang,17°C,35%,12.6 km/h,1013 mbar,54.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,15°C,33%,9.9 km/h,1017 mbar,38.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,15°C,26%,14.3 km/h,1015 mbar,42.2,129.6,28,56.3,9.6,800,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,17°C,28%,13.2 km/h,1018 mbar,74,,,,,,Không lành mạnh
Sương mù,11°C,66%,7.4 km/h,1018 mbar,148,,,,,,Không lành mạnh
Trời quang,16°C,32%,11.7 km/h,1016 mbar,46.4,,,,5.6,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,15°C,28%,13.6 km/h,1015 mbar,55.9,168.7,20,16.4,16,1450,Không lành mạnh
Trời quang,15°C,27%,13.8 km/h,1014 mbar,64.2,180.8,3,,7.2,,Không lành mạnh
Trời quang,15°C,33%,11.5 km/h,1016 mbar,45.8,,,,8.8,,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,14°C,67%,7.4 km/h,1016 mbar,146,,,,,,Không lành mạnh
Sương mù,15°C,88%,3.7 km/h,1014 mbar,58.1,153.7,28,30,9.6,1000,Không lành mạnh
Trời quang,15°C,35%,12.8 km/h,1015 mbar,45.8,78,11,,3.2,,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,15°C,63%,11.1 km/h,1016 mbar,76.8,146.2,14,28.8,6.4,875,Không lành mạnh
Trời quang,-3°C,53%,4.3 km/h,1032 mbar,213,565,8.5,94.5,15,4650,Nguy hiểm
Trời quang,17°C,30%,13.4 km/h,1014 mbar,31,98,23,53.1,31.2,660,Trung bình
Trời quang,17°C,37%,8 km/h,1013 mbar,286.5,432.2,21,11.6,9.6,1970,Nguy hiểm
Trời quang,17°C,38%,12.2 km/h,1013 mbar,30.8,54.5,7.5,41.6,18.4,1100,Trung bình
Trời quang,15°C,34%,11.4 km/h,1017 mbar,38.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,17°C,33%,13.7 km/h,1014 mbar,71.8,186.8,,39.2,12,,Không lành mạnh
Trời quang,17°C,32%,16.3 km/h,1014 mbar,81.5,167.2,36.5,44.1,6,600,Không lành mạnh
Trời quang,16°C,34%,12.8 km/h,1015 mbar,32.2*,,,,,,Trung bình
Trời quang,17°C,33%,8.7 km/h,1013 mbar,304,,42,120,33.6,3380,Nguy hiểm
Sương mù,21°C,68%,0 km/h,1013 mbar,294.5,,,,,,Nguy hiểm
Nhiều mây,27°C,13%,13.8 km/h,1011 mbar,27,,,,,,Trung bình
