Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO 
Trời quang,21°C,23%,8.7 km/h,1015 mbar,93.1,289,43,75.1,12,1100
Trời quang,22°C,24%,9.4 km/h,1015 mbar,242.2,449,30,57.1,8.4,840
Nhiều mây,0°C,28%,4.5 km/h,1027 mbar,147,493,51,31,19,1450
Sương mù,22°C,53%,7.4 km/h,1017 mbar,206,346,52,38.4,10,900
Trời quang,24°C,31%,6.6 km/h,1014 mbar,95.3*,,,,,
Trời quang,24°C,24%,7.8 km/h,1017 mbar,62.2*,,,,,
Trời quang,22°C,22%,9.1 km/h,1015 mbar,145.8,293,78.6,93.5,14.4,1285
Nhiều mây,25°C,20%,13.3 km/h,1016 mbar,87,,,,,
Sương mù,17°C,42%,7.4 km/h,1020 mbar,173,,,,,
Trời quang,25°C,22%,8.5 km/h,1015 mbar,74.5,,6,,,
Trời quang,22°C,22%,9.1 km/h,1015 mbar,173.1,270,28,24.8,9.2,2295
Trời quang,22°C,23%,9.7 km/h,1015 mbar,221,407.7,,,11.2,
Trời quang,25°C,23%,8 km/h,1015 mbar,173.1,,,,7.2,
Sương mù,21°C,46%,9.3 km/h,1017 mbar,99.3,,,,,
Sương mù,24°C,69%,0 km/h,1015 mbar,105.8,177.8,102.4,12.8,10.4,600
Ít mây,25°C,25%,11.1 km/h,1015 mbar,100.7,,16,37.6,4.8,
Sương mù,22°C,53%,7.4 km/h,1017 mbar,101.6,194.3,29,26.4,12.8,1670
Nhiều mây,0°C,26%,2.5 km/h,1027 mbar,175,574,52,32,10,1050
Trời quang,25°C,27%,5 km/h,1014 mbar,73.9,193.6,20,51.4,27.2,980
Trời quang,25°C,31%,7.8 km/h,1013 mbar,173.7,314,83.7,8.8,11.2,1350
Sương mù,25°C,50%,5.5 km/h,1015 mbar,59.4,124.6,41.1,32.8,27.2,1300
Mây rải rác,25°C,23%,9.3 km/h,1016 mbar,66.2*,,,,,
Trời quang,25°C,25%,10.2 km/h,1015 mbar,71.8,168.7,,,,
Ít mây,25°C,26%,11.2 km/h,1015 mbar,132.4,204.8,,124,18.4,1270
Trời quang,24°C,27%,4 km/h,1014 mbar,68.2*,,,,,
Trời quang,23°C,26%,8.9 km/h,1013 mbar,184.9,,129.4,83,12,1300
Sương mù,27°C,57%,0 km/h,1012 mbar,53.2,,,,,
Trời quang,22°C,13%,14.9 km/h,1014 mbar,83,,,,,
Trời quang,21°C,23%,8.5 km/h,1015 mbar,103.3,173.2,,,,640
Sương mù,25°C,47%,7.4 km/h,1014 mbar,73.5,211.2,36.4,23.2,39.6,970
Nhiều mây,-17°C,94%,19.7 km/h,1046 mbar,95.3,95.2,,22.5,15.6,
Trời quang,24°C,27%,11.1 km/h,1014 mbar,86.3*,,,,,
Nhiều mây,27°C,36%,7.1 km/h,1011 mbar,47.2,,,,,
Trời quang,25°C,23%,7.9 km/h,1015 mbar,130.1,,,,5.6,
Trời quang,25°C,25%,6.6 km/h,1015 mbar,83,126.6,24,29.6,15.2,860
Ít mây,25°C,25%,10.5 km/h,1015 mbar,145.8,235,,,,
Nhiều mây,-12°C,73%,17.6 km/h,1039 mbar,0.6,1,,,,
Nhiều mây,23°C,49%,11.1 km/h,987 mbar,111.2,210.9,,,9.6,
Nhiều mây,21°C,25%,10.7 km/h,1015 mbar,135.3,378.9,,,,
Nhiều mây,-11°C,70%,19.9 km/h,1038 mbar,45.1,45.2,,6.2,,
Trời quang,27°C,19%,13.2 km/h,1014 mbar,105.1,,,,9.6,
Trời quang,-21°C,77%,7.2 km/h,1038 mbar,0.2,0.2,,,,
Trời quang,24°C,26%,10.3 km/h,1014 mbar,149.7,,,,13.6,
Trời quang,29°C,21%,13 km/h,1011 mbar,86.5,,,,,
Nhiều mây,4°C,50%,1.3 km/h,1026 mbar,67.7,,0,40.4,7,
Nhiều mây,25°C,24%,12.3 km/h,1015 mbar,94.8,140.1,10,12.8,4.8,
Ít mây,25°C,21%,9.2 km/h,1015 mbar,77.7,,,,6.4,
Trời quang,25°C,24%,8.5 km/h,1014 mbar,83.3*,,,,,
Sương mù,-4°C,100%,3.6 km/h,1032 mbar,78.5,98.5,,,,
Trời quang,25°C,22%,6 km/h,1015 mbar,94.8,,6,,6.4,
Nhiều mây,24°C,22%,11.3 km/h,1012 mbar,160.1,,,,14.9,
Sương mù,1°C,87%,3.6 km/h,1029 mbar,30,,,,,
Sương mù,25°C,53%,14.8 km/h,1013 mbar,108.4,176.3,87.8,32.4,14.4,640
Trời quang,1°C,69%,28.8 km/h,1034 mbar,57.9,98.9,,,,
Nhiều mây,24°C,28%,8.8 km/h,1016 mbar,97.7,,21,,3.2,
Mây rải rác,25°C,26%,11.6 km/h,1015 mbar,85,147.7,,,,
Sương mù,23°C,60%,5.5 km/h,1014 mbar,191.4,273,37,13.6,14,
Sương mù,26°C,53%,13 km/h,1012 mbar,92.7,191.1,95,34.9,22.6,0
Nhiều mây,25°C,26%,12 km/h,1015 mbar,221.3,,5,9.6,14.4,
Nhiều mây,25°C,20%,8.5 km/h,1016 mbar,75.4,,,,24,
Trời quang,24°C,27%,11.6 km/h,1015 mbar,81.2,,,,,
